,ID,candle_acc_trade_price,candle_acc_trade_volume,candle_date_time_kst,candle_date_time_utc,high_price,low_price,market,opening_price,timestamp,trade_price,unit
0,[0],100157.9779488,5.26592944,2022-06-20T01:45:00,2022-06-19T16:45:00,19020,19020,KRW-ETC,19020,1655657113080,19020,1
1,[1],764999.9997588,40.09433961,2022-06-20T01:46:00,2022-06-19T16:46:00,19080,19080,KRW-ETC,19080,1655657178926,19080,1
2,[2],1591273.4496696,83.46744862,2022-06-20T01:46:00,2022-06-19T16:46:00,19080,19050,KRW-ETC,19080,1655657213935,19050,1
3,[3],19441432.5080749,1027.58656902,2022-06-20T01:48:00,2022-06-19T16:48:00,18940,18890,KRW-ETC,18930,1655657300677,18890,1
4,[4],10383141.9517566,549.70782143,2022-06-20T01:49:00,2022-06-19T16:49:00,18890,18880,KRW-ETC,18890,1655657359803,18880,1
5,[5],800817.41,42.3909,2022-06-20T01:50:00,2022-06-19T16:50:00,18900,18890,KRW-ETC,18900,1655657405121,18890,1
6,[6],3165562.4169261,167.36330191,2022-06-20T01:50:00,2022-06-19T16:50:00,18930,18890,KRW-ETC,18900,1655657439160,18930,1
7,[7],261049.0621662,13.76115246,2022-06-20T01:52:00,2022-06-19T16:52:00,18970,18970,KRW-ETC,18970,1655657528807,18970,1
8,[8],9999.999897,0.52576235,2022-06-20T01:53:00,2022-06-19T16:53:00,19020,19020,KRW-ETC,19020,1655657580340,19020,1
9,[9],5002672.9979642,263.57602729,2022-06-20T01:54:00,2022-06-19T16:54:00,18980,18980,KRW-ETC,18980,1655657655878,18980,1
10,[10],702705.8676293,37.02378269,2022-06-20T01:55:00,2022-06-19T16:55:00,18980,18970,KRW-ETC,18980,1655657716732,18970,1
11,[11],14478680.2287585,763.03095833,2022-06-20T01:56:00,2022-06-19T16:56:00,18980,18970,KRW-ETC,18980,1655657772436,18970,1
12,[12],4507578.9499787,237.49084913,2022-06-20T01:57:00,2022-06-19T16:57:00,18990,18980,KRW-ETC,18980,1655657825556,18990,1
13,[13],2015941.3904658,106.26997314,2022-06-20T01:58:00,2022-06-19T16:58:00,18970,18970,KRW-ETC,18970,1655657885325,18970,1
14,[14],111051.4682752,5.84173952,2022-06-20T01:59:00,2022-06-19T16:59:00,19010,19010,KRW-ETC,19010,1655657955293,19010,1
15,[15],2396986.2406801,125.94882497,2022-06-20T02:00:00,2022-06-19T17:00:00,19040,18990,KRW-ETC,19020,1655658021474,19040,1
16,[16],6289310.3198906,329.64786958,2022-06-20T02:01:00,2022-06-19T17:01:00,19080,19070,KRW-ETC,19070,1655658081150,19080,1
17,[17],15024177.8912853,787.1703143,2022-06-20T02:02:00,2022-06-19T17:02:00,19090,19060,KRW-ETC,19080,1655658139991,19090,1
18,[18],9429468.016068,493.6449174,2022-06-20T02:03:00,2022-06-19T17:03:00,19110,19080,KRW-ETC,19110,1655658194424,19090,1
19,[19],14037283.0297798,735.14291103,2022-06-20T02:03:00,2022-06-19T17:03:00,19110,19060,KRW-ETC,19110,1655658233078,19090,1
20,[20],1325731.134258,69.48276385,2022-06-20T02:05:00,2022-06-19T17:05:00,19080,19080,KRW-ETC,19080,1655658317773,19080,1
